Start Date,Start Time,End Date,End Time,Subject,Location,All day event,Reminder on/off,Show time as,Categories
09/13/21,08:30 AM,09/13/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
09/13/21,10:30 AM,09/13/21,11:30 AM,"Assembly","",0,0,2,"SIS Scheduled;ASSEMBLY"
09/13/21,03:00 PM,09/13/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
09/14/21,08:30 AM,09/14/21,09:15 AM,"Faculty Meeting","",0,0,2,"SIS Scheduled;FACULTYMTG"
09/14/21,03:00 PM,09/14/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
09/15/21,08:30 AM,09/15/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
09/15/21,10:30 AM,09/15/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
09/15/21,03:00 PM,09/15/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
09/16/21,08:30 AM,09/16/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
09/16/21,10:30 AM,09/16/21,11:15 AM,"Community Time","",0,0,3,"SIS Scheduled;COMMUNITY"
09/16/21,03:00 PM,09/16/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
09/17/21,08:30 AM,09/17/21,08:45 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
09/17/21,10:30 AM,09/17/21,11:15 AM,"AM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV401.4F"
09/17/21,03:00 PM,09/17/21,03:10 PM,"PM Advisement (4F) [Cullen]","Cafeteria Front",0,0,2,"SIS Scheduled;ADV402.4F"
